livraison_id,date_commande,entrepot,transporteur,distance_km,proba_a_l_heure,a_l_heure,date_livraison_prevue,retard_jours_(nombre),date_livraison_reelle,cout_km_(€),cout_transport_(€)
85,2025-03-17,Entrepot_A,Transporteur_X,797,0.77,True,2025-03-21,0,2025-03-21,1.4,1116.0
86,2025-12-17,Entrepot_B,Transporteur_X,585,0.77,True,2025-12-20,0,2025-12-20,1.4,819.0
87,2025-09-25,Entrepot_A,Transporteur_Z,239,0.86,True,2025-09-27,0,2025-09-27,1.05,251.0
88,2025-08-25,Entrepot_A,Transporteur_X,375,0.77,True,2025-08-27,0,2025-08-27,1.4,525.0
89,2025-12-23,Entrepot_B,Transporteur_Y,433,0.92,True,2025-12-25,0,2025-12-25,1.2,520.0
90,2025-02-11,Entrepot_C,Transporteur_Z,733,0.86,True,2025-02-14,0,2025-02-14,1.05,770.0
91,2025-12-10,Entrepot_B,Transporteur_Z,626,0.86,False,2025-12-13,2,2025-12-15,1.05,657.0
92,2025-07-02,Entrepot_B,Transporteur_Z,787,0.86,True,2025-07-06,0,2025-07-06,1.05,826.0
93,2025-11-12,Entrepot_C,Transporteur_Y,176,0.92,True,2025-11-14,0,2025-11-14,1.2,211.0
94,2025-12-14,Entrepot_A,Transporteur_Y,765,0.92,True,2025-12-18,0,2025-12-18,1.2,918.0
95,2025-08-18,Entrepot_B,Transporteur_Y,682,0.92,True,2025-08-21,0,2025-08-21,1.2,818.0
96,2025-01-24,Entrepot_A,Transporteur_X,157,0.77,True,2025-01-26,0,2025-01-26,1.4,220.0
97,2025-10-26,Entrepot_A,Transporteur_X,220,0.77,True,2025-10-28,0,2025-10-28,1.4,308.0
98,2025-12-14,Entrepot_B,Transporteur_X,593,0.77,True,2025-12-17,0,2025-12-17,1.4,830.0
99,2025-06-15,Entrepot_A,Transporteur_Z,159,0.86,True,2025-06-17,0,2025-06-17,1.05,167.0
100,2025-06-10,Entrepot_C,Transporteur_Y,502,0.92,True,2025-06-13,0,2025-06-13,1.2,602.0
101,2025-10-12,Entrepot_C,Transporteur_Y,639,0.92,True,2025-10-15,0,2025-10-15,1.2,767.0
102,2025-07-07,Entrepot_B,Transporteur_X,141,0.77,True,2025-07-08,0,2025-07-08,1.4,197.0
103,2025-11-22,Entrepot_A,Transporteur_Z,720,0.86,True,2025-11-25,0,2025-11-25,1.05,756.0
104,2025-11-08,Entrepot_B,Transporteur_X,488,0.77,True,2025-11-11,0,2025-11-11,1.4,683.0
105,2025-07-04,Entrepot_B,Transporteur_X,111,0.77,True,2025-07-05,0,2025-07-05,1.4,155.0
106,2025-06-26,Entrepot_C,Transporteur_X,105,0.77,True,2025-06-27,0,2025-06-27,1.4,147.0
107,2025-12-01,Entrepot_A,Transporteur_Z,298,0.86,True,2025-12-03,0,2025-12-03,1.05,313.0
108,2025-02-04,Entrepot_B,Transporteur_Z,196,0.86,True,2025-02-06,0,2025-02-06,1.05,206.0
109,2025-12-22,Entrepot_B,Transporteur_Z,104,0.86,True,2025-12-23,0,2025-12-23,1.05,109.0
110,2025-02-22,Entrepot_A,Transporteur_Z,338,0.86,True,2025-02-24,0,2025-02-24,1.05,355.0
111,2025-06-10,Entrepot_C,Transporteur_Z,309,0.86,True,2025-06-12,0,2025-06-12,1.05,324.0
112,2025-08-21,Entrepot_A,Transporteur_Y,323,0.92,True,2025-08-23,0,2025-08-23,1.2,388.0
113,2025-10-11,Entrepot_B,Transporteur_Y,103,0.92,True,2025-10-12,0,2025-10-12,1.2,124.0
114,2025-11-17,Entrepot_B,Transporteur_X,541,0.77,True,2025-11-20,0,2025-11-20,1.4,757.0
115,2025-03-20,Entrepot_B,Transporteur_X,130,0.77,True,2025-03-21,0,2025-03-21,1.4,182.0
116,2025-12-28,Entrepot_A,Transporteur_X,326,0.77,True,2025-12-30,0,2025-12-30,1.4,456.0
117,2025-11-11,Entrepot_C,Transporteur_Z,700,0.86,True,2025-11-14,0,2025-11-14,1.05,735.0
118,2025-08-17,Entrepot_B,Transporteur_Z,597,0.86,True,2025-08-20,0,2025-08-20,1.05,627.0
119,2025-05-26,Entrepot_A,Transporteur_Z,309,0.86,True,2025-05-28,0,2025-05-28,1.05,324.0
120,2025-01-14,Entrepot_C,Transporteur_Y,794,0.92,True,2025-01-18,0,2025-01-18,1.2,953.0
121,2025-08-29,Entrepot_A,Transporteur_Z,57,0.86,True,2025-08-30,0,2025-08-30,1.05,60.0
122,2025-07-03,Entrepot_C,Transporteur_Y,224,0.92,True,2025-07-05,0,2025-07-05,1.2,269.0
123,2025-01-26,Entrepot_C,Transporteur_Y,498,0.92,True,2025-01-29,0,2025-01-29,1.2,598.0
124,2025-06-09,Entrepot_B,Transporteur_Z,526,0.86,True,2025-06-12,0,2025-06-12,1.05,552.0
125,2025-01-23,Entrepot_B,Transporteur_Z,658,0.86,True,2025-01-26,0,2025-01-26,1.05,691.0
126,2025-05-19,Entrepot_A,Transporteur_Y,230,0.92,True,2025-05-21,0,2025-05-21,1.2,276.0
127,2025-04-19,Entrepot_B,Transporteur_Z,245,0.86,True,2025-04-21,0,2025-04-21,1.05,257.0
128,2025-12-20,Entrepot_C,Transporteur_Y,613,0.92,True,2025-12-23,0,2025-12-23,1.2,736.0
129,2025-08-31,Entrepot_B,Transporteur_X,458,0.77,False,2025-09-03,1,2025-09-04,1.4,641.0
130,2025-02-08,Entrepot_A,Transporteur_X,463,0.77,True,2025-02-11,0,2025-02-11,1.4,648.0
131,2025-09-06,Entrepot_B,Transporteur_Z,666,0.86,False,2025-09-09,3,2025-09-12,1.05,699.0
132,2025-03-19,Entrepot_A,Transporteur_Y,64,0.92,True,2025-03-20,0,2025-03-20,1.2,77.0
133,2025-08-08,Entrepot_B,Transporteur_Z,740,0.86,True,2025-08-11,0,2025-08-11,1.05,777.0
134,2025-07-09,Entrepot_A,Transporteur_X,585,0.77,True,2025-07-12,0,2025-07-12,1.4,819.0
135,2025-09-12,Entrepot_A,Transporteur_X,107,0.77,True,2025-09-13,0,2025-09-13,1.4,150.0
136,2025-05-11,Entrepot_C,Transporteur_Y,432,0.92,True,2025-05-13,0,2025-05-13,1.2,518.0
137,2025-02-09,Entrepot_B,Transporteur_X,64,0.77,False,2025-02-10,2,2025-02-12,1.4,90.0
138,2025-08-15,Entrepot_A,Transporteur_X,358,0.77,False,2025-08-17,3,2025-08-20,1.4,501.0
139,2025-05-12,Entrepot_B,Transporteur_Z,116,0.86,True,2025-05-13,0,2025-05-13,1.05,122.0
140,2025-03-21,Entrepot_B,Transporteur_X,448,0.77,False,2025-03-23,2,2025-03-25,1.4,627.0
141,2025-09-13,Entrepot_C,Transporteur_X,315,0.77,True,2025-09-15,0,2025-09-15,1.4,441.0
142,2025-04-05,Entrepot_A,Transporteur_Z,165,0.86,True,2025-04-07,0,2025-04-07,1.05,173.0
143,2025-06-07,Entrepot_C,Transporteur_X,294,0.77,False,2025-06-09,1,2025-06-10,1.4,412.0
144,2025-11-27,Entrepot_B,Transporteur_Z,318,0.86,True,2025-11-29,0,2025-11-29,1.05,334.0
145,2025-02-04,Entrepot_B,Transporteur_Z,759,0.86,True,2025-02-08,0,2025-02-08,1.05,797.0
146,2025-08-07,Entrepot_A,Transporteur_Z,480,0.86,True,2025-08-10,0,2025-08-10,1.05,504.0
147,2025-05-20,Entrepot_B,Transporteur_Y,791,0.92,True,2025-05-24,0,2025-05-24,1.2,949.0
148,2025-12-17,Entrepot_B,Transporteur_Z,557,0.86,True,2025-12-20,0,2025-12-20,1.05,585.0
149,2025-11-23,Entrepot_B,Transporteur_Z,316,0.86,False,2025-11-25,3,2025-11-28,1.05,332.0
150,2025-05-24,Entrepot_B,Transporteur_X,733,0.77,True,2025-05-27,0,2025-05-27,1.4,1026.0
151,2025-05-08,Entrepot_A,Transporteur_Y,437,0.92,True,2025-05-10,0,2025-05-10,1.2,524.0
152,2025-08-12,Entrepot_A,Transporteur_X,765,0.77,True,2025-08-16,0,2025-08-16,1.4,1071.0
153,2025-03-09,Entrepot_C,Transporteur_X,444,0.77,True,2025-03-11,0,2025-03-11,1.4,622.0
154,2025-07-23,Entrepot_B,Transporteur_Y,174,0.92,True,2025-07-25,0,2025-07-25,1.2,209.0
155,2025-05-03,Entrepot_C,Transporteur_X,242,0.77,True,2025-05-05,0,2025-05-05,1.4,339.0
156,2025-07-18,Entrepot_C,Transporteur_Z,507,0.86,True,2025-07-21,0,2025-07-21,1.05,532.0
157,2025-11-24,Entrepot_B,Transporteur_X,649,0.77,True,2025-11-27,0,2025-11-27,1.4,909.0
158,2025-02-22,Entrepot_B,Transporteur_X,612,0.77,True,2025-02-25,0,2025-02-25,1.4,857.0
159,2025-10-25,Entrepot_C,Transporteur_Z,696,0.86,True,2025-10-28,0,2025-10-28,1.05,731.0
160,2025-12-12,Entrepot_B,Transporteur_Y,729,0.92,True,2025-12-15,0,2025-12-15,1.2,875.0
161,2025-12-21,Entrepot_B,Transporteur_Y,52,0.92,True,2025-12-22,0,2025-12-22,1.2,62.0
162,2025-05-16,Entrepot_A,Transporteur_X,473,0.77,True,2025-05-19,0,2025-05-19,1.4,662.0
163,2025-11-10,Entrepot_B,Transporteur_Y,161,0.92,True,2025-11-12,0,2025-11-12,1.2,193.0
164,2025-05-30,Entrepot_A,Transporteur_X,609,0.77,True,2025-06-02,0,2025-06-02,1.4,853.0
165,2025-01-06,Entrepot_C,Transporteur_Z,217,0.86,True,2025-01-08,0,2025-01-08,1.05,228.0
166,2025-07-13,Entrepot_C,Transporteur_Z,114,0.86,True,2025-07-14,0,2025-07-14,1.05,120.0
167,2025-01-22,Entrepot_B,Transporteur_X,601,0.77,True,2025-01-25,0,2025-01-25,1.4,841.0
168,2025-08-29,Entrepot_C,Transporteur_Z,209,0.86,True,2025-08-31,0,2025-08-31,1.05,219.0
169,2025-04-09,Entrepot_B,Transporteur_Y,260,0.92,True,2025-04-11,0,2025-04-11,1.2,312.0
170,2025-02-09,Entrepot_A,Transporteur_Y,80,0.92,True,2025-02-10,0,2025-02-10,1.2,96.0
171,2025-05-09,Entrepot_B,Transporteur_X,402,0.77,False,2025-05-11,3,2025-05-14,1.4,563.0
172,2025-03-12,Entrepot_B,Transporteur_Y,670,0.92,True,2025-03-15,0,2025-03-15,1.2,804.0
173,2025-10-02,Entrepot_A,Transporteur_Y,72,0.92,True,2025-10-03,0,2025-10-03,1.2,86.0
174,2025-09-22,Entrepot_B,Transporteur_X,610,0.77,True,2025-09-25,0,2025-09-25,1.4,854.0
175,2025-01-23,Entrepot_A,Transporteur_Z,651,0.86,False,2025-01-26,2,2025-01-28,1.05,684.0
176,2025-08-08,Entrepot_B,Transporteur_Z,147,0.86,True,2025-08-09,0,2025-08-09,1.05,154.0
177,2025-04-25,Entrepot_C,Transporteur_Z,174,0.86,True,2025-04-27,0,2025-04-27,1.05,183.0
178,2025-04-28,Entrepot_B,Transporteur_X,170,0.77,False,2025-04-30,2,2025-05-02,1.4,238.0
179,2025-07-27,Entrepot_B,Transporteur_Y,54,0.92,True,2025-07-28,0,2025-07-28,1.2,65.0
180,2025-08-13,Entrepot_A,Transporteur_Y,450,0.92,True,2025-08-15,0,2025-08-15,1.2,540.0
181,2025-01-02,Entrepot_C,Transporteur_Z,618,0.86,True,2025-01-05,0,2025-01-05,1.05,649.0
182,2025-06-01,Entrepot_C,Transporteur_X,480,0.77,False,2025-06-04,1,2025-06-05,1.4,672.0
183,2025-12-03,Entrepot_C,Transporteur_Z,641,0.86,False,2025-12-06,4,2025-12-10,1.05,673.0
184,2025-12-08,Entrepot_B,Transporteur_Y,264,0.92,True,2025-12-10,0,2025-12-10,1.2,317.0
185,2025-05-20,Entrepot_A,Transporteur_X,362,0.77,False,2025-05-22,2,2025-05-24,1.4,507.0
186,2025-03-09,Entrepot_A,Transporteur_Z,245,0.86,True,2025-03-11,0,2025-03-11,1.05,257.0
187,2025-09-06,Entrepot_B,Transporteur_Z,601,0.86,True,2025-09-09,0,2025-09-09,1.05,631.0
188,2025-10-14,Entrepot_B,Transporteur_Y,369,0.92,True,2025-10-16,0,2025-10-16,1.2,443.0
189,2025-12-06,Entrepot_C,Transporteur_Y,530,0.92,True,2025-12-09,0,2025-12-09,1.2,636.0
190,2025-06-11,Entrepot_A,Transporteur_X,440,0.77,True,2025-06-13,0,2025-06-13,1.4,616.0
191,2025-09-28,Entrepot_C,Transporteur_X,435,0.77,True,2025-09-30,0,2025-09-30,1.4,609.0
192,2025-09-11,Entrepot_C,Transporteur_Y,636,0.92,True,2025-09-14,0,2025-09-14,1.2,763.0
193,2025-02-01,Entrepot_A,Transporteur_Y,535,0.92,True,2025-02-04,0,2025-02-04,1.2,642.0
194,2025-05-14,Entrepot_C,Transporteur_X,556,0.77,False,2025-05-17,1,2025-05-18,1.4,778.0
195,2025-11-27,Entrepot_C,Transporteur_Y,256,0.92,True,2025-11-29,0,2025-11-29,1.2,307.0
196,2025-09-30,Entrepot_C,Transporteur_X,102,0.77,True,2025-10-01,0,2025-10-01,1.4,143.0
197,2025-11-01,Entrepot_B,Transporteur_Z,757,0.86,True,2025-11-05,0,2025-11-05,1.05,795.0
198,2025-06-01,Entrepot_A,Transporteur_Y,408,0.92,True,2025-06-03,0,2025-06-03,1.2,490.0
199,2025-11-08,Entrepot_A,Transporteur_Y,717,0.92,True,2025-11-11,0,2025-11-11,1.2,860.0
200,2025-09-14,Entrepot_B,Transporteur_X,777,0.77,True,2025-09-18,0,2025-09-18,1.4,1088.0
201,2025-11-24,Entrepot_A,Transporteur_Y,119,0.92,True,2025-11-25,0,2025-11-25,1.2,143.0
202,2025-06-01,Entrepot_A,Transporteur_X,563,0.77,True,2025-06-04,0,2025-06-04,1.4,788.0
203,2025-12-28,Entrepot_A,Transporteur_Y,620,0.92,True,2025-12-31,0,2025-12-31,1.2,744.0
204,2025-06-03,Entrepot_B,Transporteur_X,80,0.77,True,2025-06-04,0,2025-06-04,1.4,112.0
205,2025-01-19,Entrepot_C,Transporteur_Z,422,0.86,False,2025-01-21,2,2025-01-23,1.05,443.0
206,2025-11-17,Entrepot_C,Transporteur_Y,759,0.92,True,2025-11-21,0,2025-11-21,1.2,911.0
207,2025-01-10,Entrepot_B,Transporteur_Y,757,0.92,True,2025-01-14,0,2025-01-14,1.2,908.0
208,2025-08-27,Entrepot_A,Transporteur_Z,352,0.86,True,2025-08-29,0,2025-08-29,1.05,370.0
209,2025-03-07,Entrepot_C,Transporteur_Y,313,0.92,True,2025-03-09,0,2025-03-09,1.2,376.0
210,2025-05-21,Entrepot_C,Transporteur_Y,541,0.92,True,2025-05-24,0,2025-05-24,1.2,649.0
211,2025-04-30,Entrepot_C,Transporteur_Y,711,0.92,True,2025-05-03,0,2025-05-03,1.2,853.0
212,2025-04-06,Entrepot_B,Transporteur_Y,419,0.92,True,2025-04-08,0,2025-04-08,1.2,503.0
213,2025-12-26,Entrepot_B,Transporteur_Z,762,0.86,True,2025-12-30,0,2025-12-30,1.05,800.0
214,2025-05-27,Entrepot_C,Transporteur_Y,677,0.92,True,2025-05-30,0,2025-05-30,1.2,812.0
215,2025-03-08,Entrepot_A,Transporteur_Y,687,0.92,True,2025-03-11,0,2025-03-11,1.2,824.0
216,2025-09-01,Entrepot_C,Transporteur_Y,686,0.92,True,2025-09-04,0,2025-09-04,1.2,823.0
217,2025-06-08,Entrepot_B,Transporteur_X,440,0.77,True,2025-06-10,0,2025-06-10,1.4,616.0
218,2025-01-17,Entrepot_B,Transporteur_Z,57,0.86,True,2025-01-18,0,2025-01-18,1.05,60.0
219,2025-11-07,Entrepot_B,Transporteur_Y,346,0.92,True,2025-11-09,0,2025-11-09,1.2,415.0
220,2025-10-18,Entrepot_B,Transporteur_Z,174,0.86,True,2025-10-20,0,2025-10-20,1.05,183.0
221,2025-05-27,Entrepot_A,Transporteur_Y,626,0.92,True,2025-05-30,0,2025-05-30,1.2,751.0
222,2025-05-14,Entrepot_C,Transporteur_X,738,0.77,True,2025-05-17,0,2025-05-17,1.4,1033.0
223,2025-07-18,Entrepot_C,Transporteur_X,361,0.77,False,2025-07-20,1,2025-07-21,1.4,505.0
224,2025-05-14,Entrepot_C,Transporteur_Z,203,0.86,True,2025-05-16,0,2025-05-16,1.05,213.0
225,2025-08-16,Entrepot_C,Transporteur_Y,214,0.92,True,2025-08-18,0,2025-08-18,1.2,257.0
226,2025-09-08,Entrepot_B,Transporteur_X,307,0.77,False,2025-09-10,2,2025-09-12,1.4,430.0
227,2025-02-03,Entrepot_C,Transporteur_Y,242,0.92,True,2025-02-05,0,2025-02-05,1.2,290.0
228,2025-12-12,Entrepot_A,Transporteur_Y,508,0.92,True,2025-12-15,0,2025-12-15,1.2,610.0
229,2025-07-16,Entrepot_A,Transporteur_Y,606,0.92,True,2025-07-19,0,2025-07-19,1.2,727.0
230,2025-02-12,Entrepot_A,Transporteur_Y,568,0.92,True,2025-02-15,0,2025-02-15,1.2,682.0
231,2025-11-30,Entrepot_A,Transporteur_Y,762,0.92,True,2025-12-04,0,2025-12-04,1.2,914.0
232,2025-10-13,Entrepot_A,Transporteur_Y,318,0.92,True,2025-10-15,0,2025-10-15,1.2,382.0
233,2025-11-29,Entrepot_C,Transporteur_Z,437,0.86,True,2025-12-01,0,2025-12-01,1.05,459.0
234,2025-05-01,Entrepot_A,Transporteur_Y,689,0.92,True,2025-05-04,0,2025-05-04,1.2,827.0
235,2025-11-25,Entrepot_A,Transporteur_Z,658,0.86,True,2025-11-28,0,2025-11-28,1.05,691.0
236,2025-08-27,Entrepot_A,Transporteur_X,389,0.77,False,2025-08-29,2,2025-08-31,1.4,545.0
237,2025-09-10,Entrepot_A,Transporteur_Y,619,0.92,True,2025-09-13,0,2025-09-13,1.2,743.0
238,2025-01-15,Entrepot_B,Transporteur_X,294,0.77,True,2025-01-17,0,2025-01-17,1.4,412.0
239,2025-01-20,Entrepot_C,Transporteur_Y,472,0.92,True,2025-01-23,0,2025-01-23,1.2,566.0
